time,open,high,low,close,volume
1576713600.0,7140.0,7140.0,7140.0,7140.0,0.00429554
1576800000.0,7112.8,7832.0,7112.8,7186.9,1.15254726
1576886400.0,7183.0,7183.0,7050.0,7132.1,6.58549942
1576972800.0,7123.7,7489.5,7123.7,7489.5,5.34243747
1577059200.0,7526.4,7667.5,6666.1,7325.6,14.02647699
1577145600.0,7308.1,7579.9,7150.0,7235.2,7.7809133699999995
1577232000.0,7240.0,7349.9,7004.7,7188.9,6.72374747
1577318400.0,7199.5,7579.9,6075.3,7229.6,16.87632604
1577404800.0,7209.1,7263.3,7121.6,7263.3,10.98163089
1577491200.0,7314.0,7700.8,7278.4,7314.6,4.73741946
1577577600.0,7314.6,7536.0,7120.0,7403.1,11.84539088
1577664000.0,7379.0,7449.9,7208.1,7236.0,9.58188592
1577750400.0,7249.4,7299.8,7133.0,7180.9,22.10114343
1577836800.0,7181.0,7331.5,7180.9,7229.0,3.05347529
1577923200.0,7201.2,7279.2,6941.9,6972.1,9.0644629
1578009600.0,6942.4,7400.0,6942.4,7316.4,19.72361032
1578096000.0,7345.2,7372.7,7301.5,7346.4,2.62569662
1578182400.0,7355.9,7495.0,7323.7,7323.7,16.28533723
1578268800.0,7362.8,7746.3,7362.8,7746.3,12.45713964
1578355200.0,7835.0,8200.0,7781.4,8151.5,22.74769758
1578441600.0,8200.0,8445.0,7385.0,8117.0,15.01313721
1578528000.0,8053.9,8121.9,7700.2,7828.7,17.75797912
1578614400.0,7828.7,8200.9,7695.5,8086.5,8.38490807
1578700800.0,8173.3,8251.0,7489.8,8073.7,10.60291272
1578787200.0,7956.3,8170.6,7950.2,8117.1,3.78966131
1578873600.0,8173.2,8185.8,8021.5,8115.0,3.50197747
1578960000.0,8194.1,8876.5,8194.1,8843.4,20.97728226
1579046400.0,8756.1,8900.0,8628.3,8850.0,14.68875729
1579132800.0,8751.2,8770.0,8566.7,8708.7,17.31935036
1579219200.0,8712.9,9010.0,8712.9,8908.7,13.86288418
1579305600.0,8888.6,8961.5,8835.0,8961.5,7.22768468
1579392000.0,8944.2,9181.7,8051.0,8648.9,29.08199399
1579478400.0,8721.1,8721.1,8558.8,8699.6,25.36879398
1579564800.0,8637.7,8779.4,8536.2,8757.5,11.21671573
1579651200.0,8718.1,8854.9,8611.2,8675.3,10.806891779999999
1579737600.0,8590.0,8604.5,8292.1,8417.2,11.5774717
1579824000.0,8386.8,8516.5,8261.0,8444.0,9.9182936
1579910400.0,8440.1,8440.1,8251.0,8362.8,11.56733721
1579996800.0,8334.0,8613.3,8334.0,8593.1,3.8625836700000002
1580083200.0,8619.4,8980.5,8578.1,8901.0,24.229844
1580169600.0,8970.7,9400.0,8825.1,9372.7,11.08945562
1580256000.0,9388.9,9445.2,9144.5,9301.0,9.48734359
1580342400.0,9301.0,9580.0,9158.7,9569.8,14.26921207
1580428800.0,9511.5,9511.5,9239.1,9353.2,11.76387971
1580515200.0,9408.6,9425.0,9324.3,9380.8,4.46454672
1580601600.0,9353.0,9481.7,9175.0,9355.3,15.79954493
1580688000.0,9325.0,9600.0,9200.0,9307.7,30.430821220000002
1580774400.0,9311.0,9600.0,9101.0,9210.4,28.24017655
1580860800.0,9215.0,9716.8,9188.0,9648.8,8.518857389999999
1580947200.0,9560.8,9850.0,9542.8,9755.9,24.86164246
1581033600.0,9817.0,9892.0,9746.5,9768.0,19.1481345
1581120000.0,9786.2,9920.0,9684.7,9897.7,6.77698222
1581206400.0,9913.2,10159.9,9806.3,10126.7,10.57796433
1581292800.0,10185.3,10200.4,9650.0,9877.1,10.6440338
1581379200.0,9819.9,10317.3,9732.7,10207.1,19.39839311
1581465600.0,10249.0,10425.0,9551.1,10336.1,28.48924504
1581552000.0,10357.2,10500.0,9551.0,10230.0,52.55372297
1581638400.0,10216.5,10500.0,9451.0,10320.3,41.84471923
1581724800.0,10362.4,10500.0,9659.6,9899.1,34.00918953
1581811200.0,9894.6,10088.4,9631.5,9950.1,19.37777455
1581897600.0,9925.1,9933.0,9460.0,9684.6,10.84734391
1581984000.0,9694.8,10438.5,9603.1,10149.5,22.83685662
1582070400.0,10120.2,10217.3,9385.1,9589.5,45.92579105
1582156800.0,9611.4,9655.7,9420.0,9615.9,37.5564152
1582243200.0,9601.5,9743.9,8560.0,9670.9,20.57552681
1582329600.0,9694.8,9694.8,9494.2,9658.8,9.30354999
1582416000.0,9800.0,9970.5,9800.0,9950.0,8.9114606
1582502400.0,9947.0,9980.0,9483.0,9649.7,30.00250046
1582588800.0,9624.0,9636.0,9257.7,9318.6,30.8970806
1582675200.0,9304.3,9512.4,8508.0,8828.8,58.90910999
1582761600.0,8778.0,9293.1,8500.4,8782.6,66.52303279
1582848000.0,8812.8,8888.2,7211.0,8700.0,59.04220577
1582934400.0,8734.1,8765.1,8536.1,8551.5,10.42195251
1583020800.0,8539.2,8719.0,8415.3,8540.3,11.79477687
1583107200.0,8501.8,8954.6,8433.8,8889.9,37.23827378
1583193600.0,8859.7,8882.7,8652.6,8758.2,8.99393476
1583280000.0,8774.0,8833.0,8333.3,8750.2,76.32559703
1583366400.0,8769.7,9204.8,8465.0,9024.5,49.81799744
1583452800.0,9050.5,9700.0,8637.0,9138.0,67.21121729
1583539200.0,9138.0,9170.0,8859.3,8888.0,26.87715505
1583625600.0,8854.6,8854.6,7850.0,8025.0,39.62793601
1583712000.0,8034.0,8455.0,7550.1,7925.2,53.69906882
1583798400.0,7924.2,8154.3,7723.1,7911.3,42.41255066
1583884800.0,7903.4,7950.0,7600.0,7945.6,32.94608593
1583971200.0,7843.5,7843.5,4359.5,4851.0,449.53667571
1584057600.0,4823.0,6240.0,3883.8,5553.6,988.79391827
